time;y1;y2;y3;u1;u2;x1;x2;x3
135;0.5126114;0.04479696;0.18005680000000002;0.00010128;0;0.5115800596612787;0.04081609886800197;0.17985552410722322
136;0.5159394;0.045294239999999986;0.18219920000000003;0.00010128;0;0.5143632258514895;0.04114487513895011;0.18124879954412995
137;0.519101;0.045625760000000015;0.18368240000000002;0.00010128;0;0.517142960832885;0.04147195279318761;0.18264166387912664
138;0.5222626;0.04662031999999999;0.18500080000000002;0.00010128;0;0.5199220096673548;0.04179815468520462;0.1840330322623503
139;0.5249250000000001;0.04695184000000002;0.18664880000000003;0.00010128;0;0.5226995929719207;0.042125516649249975;0.18542213257474227
140;0.5279202000000001;0.04695184000000002;0.18780240000000004;0.00010128;0;0.5254619824925051;0.04245538405341808;0.18681041523761815
141;0.5310818;0.047283359999999997;0.1896152;0.00010128;0;0.5282190627181025;0.042787655494824224;0.1881972756113436
142;0.5342434;0.0479464;0.19126320000000002;0.00010128;0;0.5309740148912553;0.04312500539313048;0.1895828101297446
143;0.5362402000000001;0.047780639999999985;0.19258160000000002;0.00010128;0;0.5337258989452289;0.04346993320144833;0.19096774981466577
144;0.539901;0.04844367999999999;0.19258160000000002;0.00010128;0;0.5364560424778797;0.04382078550096819;0.19235150334565146
145;0.5422306;0.04877520000000002;0.19455920000000004;0.00010128;0;0.5391964321322399;0.044183009744472757;0.19373348694420392
146;0.5422306;0.04927248000000001;0.19587760000000004;0.00010128;0;0.5419144703239357;0.04455422176523374;0.1951151905561047
147;0.5450594;0.04993552000000001;0.19719600000000004;0.00010128;0;0.5445583322793813;0.04493593255560683;0.19649585421455423
148;0.5485538000000001;0.050267039999999985;0.19900880000000004;0.00010128;0;0.5471990161778955;0.04532473196423021;0.19787542334598124
149;0.5512162;0.05093007999999999;0.20082160000000002;0.00010128;0;0.5498475257905661;0.04572168323507919;0.1992545476853075
150;0.5542114;0.05142735999999998;0.20197520000000002;0.00010128;0;0.5524882684895165;0.046123096846713056;0.20063245383650055
151;0.5570402;0.05142735999999998;0.2036232;0.00010128;0;0.5551295958549574;0.04652959191229404;0.20200947805464034
152;0.5598690000000001;0.05142735999999998;0.20510640000000002;0.00010128;0;0.5577659375670825;0.04693429528662193;0.2033868108466272
153;0.5630306;0.05175888000000001;0.20708400000000002;0.00010128;0;0.56039861754165;0.04733775466945825;0.2047635044256295
154;0.5655266000000001;0.05175888000000001;0.20840240000000004;0.00010128;0;0.5630354567242577;0.047734509000114875;0.20614000873024302
155;0.5683554;0.05242192000000001;0.20972080000000004;0.00010128;0;0.5656589031393381;0.048123747615751944;0.207516021331359
