time;y1;y2;y3;x1;x2;x3;s1;s2;s3;u1
112;0.1637538;0.011810719999999997;0.05942320000000001;0.16287500286220338;-0.00011020357776956886;0.010780086423380608;0.000015154783313671902;0.00002992497129109944;0.00002063064101113927;0.00005064
113;0.16475220000000002;0.012307999999999986;0.060082400000000036;0.16434548016139766;-0.0001122584855932623;0.010930257682209888;0.000015131829138130717;0.000030205403664623516;0.000020609020985773187;0.00005064
114;0.1662498;0.012639520000000015;0.06107120000000005;0.16571519364622167;-0.00011698084590808683;0.011066323157703431;0.000015089105563408703;0.00003048349096109155;0.000020639823947052398;0.00005064
115;0.1672482;0.012805279999999974;0.06107120000000005;0.16710998659062362;-0.000120705577180243;0.011208750171530378;0.000015051424803280201;0.00003076089169545084;0.00002071779557729446;0.00005064
116;0.1672482;0.013136800000000004;0.062060000000000004;0.16842137290159634;-0.0001266440277421864;0.0113404213531479;0.00001502145738415528;0.00003103701034669339;0.000020832137870573868;0.00005064
117;0.1687458;0.013136800000000004;0.06255440000000001;0.16949850505528266;-0.00013906770281812522;0.011439011945962464;0.000014995043916435133;0.000031311948497069554;0.000020976595524523477;0.00005064
118;0.17024340000000002;0.013136800000000004;0.06321360000000004;0.17064187570432304;-0.0001498416761259273;0.011551414410378283;0.000014966430732886953;0.000031586336281653354;0.00002115290807996991;0.00005064
119;0.1712418;0.013302560000000019;0.06403760000000003;0.1718595001097255;-0.00015949432222805906;0.011675148061422776;0.00001495698488403807;0.00003185959223325466;0.000021346011785405526;0.00005064
120;0.17273940000000002;0.013799840000000008;0.06469680000000005;0.17303323662490833;-0.0001717951849263677;0.011793592571252502;0.000014935905433256223;0.000032131203920887894;0.000021552939597717596;0.00005064
121;0.1739042;0.013965600000000022;0.06552080000000005;0.17425386307999585;-0.000182376739604545;0.011920074341149863;0.000014925239592108221;0.00003240214314077797;0.000021774580048190125;0.00005064
122;0.1755682;0.014131359999999982;0.06634480000000004;0.1754738801030091;-0.00019495030388249292;0.012048762514512232;0.00001490733082744735;0.00003267018786487998;0.00002200946092697223;0.00005064
123;0.176733;0.014794399999999985;0.06700400000000001;0.17675147630958857;-0.00020558995140467477;0.012185754748141054;0.000014902988713988435;0.00003293661476596181;0.00002224760091264687;0.00005064
124;0.17823060000000002;0.01496016;0.06799280000000002;0.1780004355795291;-0.00021853106704623076;0.012319711308558965;0.000014901416905561765;0.00003319984839769144;0.000022487871926480727;0.00005064
125;0.1793954;0.01496016;0.06898160000000003;0.17928009641227993;-0.00023117388518928834;0.012458327718667717;0.000014909561106016753;0.00003345932044145428;0.000022726565462304214;0.00005064
126;0.18039380000000002;0.015291679999999974;0.06898160000000003;0.1805486413764645;-0.0002456087440919365;0.012595967253391707;0.000014907772420362479;0.000033714094379133336;0.000022961699619853278;0.00005064
127;0.18039380000000002;0.01578896000000002;0.06947600000000004;0.1817829763262863;-0.0002631070891107484;0.012729069360812698;0.000014911157837408823;0.00003396389040234207;0.000023190901196223813;0.00005064
128;0.18205780000000002;0.015954719999999978;0.07030000000000003;0.18274826377981596;-0.0003003187888150904;0.012823339440971769;0.000014914971151482811;0.00003420690414257563;0.000023411916353210583;0.00005064
129;0.1830562;0.015954719999999978;0.07112400000000002;0.18388960509396413;-0.00032699268882475653;0.012943546879209346;0.000014922220937276492;0.000034443786718363566;0.000023626048610051257;0.00005064
130;0.18422100000000002;0.016120479999999993;0.07194800000000004;0.18499303923681162;-0.00035939497252671315;0.013057617506902413;0.000014938396199271062;0.00003467052350048375;0.00002382687382392122;0.00005064
131;0.1855522;0.01661775999999998;0.07310160000000002;0.18608532953947063;-0.0003962501012142333;0.013169320560121097;0.000014949200813457338;0.000034884709809020487;0.000024012489373975205;0.00005064
132;0.18704980000000002;0.016783519999999996;0.07326640000000004;0.18719672599009796;-0.00043360377847897726;0.013284262709896601;0.000014960438144586087;0.00003508685600645636;0.000024184670461954893;0.00005064
133;0.18838100000000002;0.016783519999999996;0.07425520000000002;0.18839493379889177;-0.0004648649313387303;0.0134124191886673;0.000014966046811447051;0.000035272519457263056;0.000024337726139686314;0.00005064
134;0.1897122;0.01694928000000001;0.07507920000000004;0.18958907562132082;-0.0004993545786189291;0.013539373210489666;0.000014979269986847756;0.00003543719947145819;0.000024468177878877935;0.00005064
135;0.1907106;0.017280799999999985;0.07557360000000002;0.1908243546928033;-0.000531079774617858;0.013673613452655442;0.000014994988298353652;0.00003557868566532328;0.000024579855114511243;0.00005064
